"","x"
"1280","-33,650,"
"1281","-33,-658,"
"1282","-115,237,"
"1283","-115,-247,"
"1284","43,237,"
"1285","43,-247,"
"1286","-141,162,"
"1287","-141,-590,"
"1288","65,173,"
"1289","65,-204,"
"1290","1088,-44,"
"1291","1088,92,"
"1292","4,62,"
"1293","-12,12,"
"1294","-197,62,"
"1295","197,62,"
"1296","-27,12,"
"1297","4,-54,"
"1298","-54,"
"1299","62,"
"1300","-70,-147,"
"1301","-1105,-10,"
"1302","-1105,-129,"
"1303","-1105,-62,"
"1304","1266,-10,"
"1305","1266,-129,"
"1306","1266,-62,"
"1307","-361,4,"
"1308","361,4,"
"1309","288,-31,"
"1310","-237,-247,"
"1311","247,-247,"
"1312","252,-143,"
"1313","252,143,"
"1314","-558,-143,"
"1315","-558,143,"
"1316","-565,135,"
"1317","-565,-254,"
"1318","270,-147,"
"1319","270,187,"
"1320","-87,-147,"
"1321","-87,187,"
"1322","149,-129,"
"1323","149,-222,"
"1324","149,329,"
"1325","-280,-129,"
"1326","-280,-222,"
"1327","-280,329,"
"1328","62,-222,"
"1329","717,158,"
"1330","717,173,"
"1331","717,213,"
"1332","717,-269,"
"1333","717,428,"
"1334","717,54,"
"1335","717,-62,"
"1336","-771,158,"
"1337","-771,173,"
"1338","-771,213,"
"1339","-771,-99,"
"1340","717,-168,"
"1341","717,-204,"
"1342","717,-99,"
"1343","-771,-269,"
"1344","-771,428,"
"1345","717,-129,"
"1346","717,20,"
"1347","129,-269,"
"1348","129,428,"
"1349","-20,-269,"
"1350","-20,428,"
"1351","62,-269,"
"1352","62,428,"
"1353","-771,-168,"
"1354","-771,-204,"
"1355","10,771,"
"1356","129,771,"
"1357","-20,771,"
"1358","-54,771,"
"1359","62,771,"
"1360","-8,771,"
"1361","120,-63,"
"1362","-439,439,"
"1363","-439,-546,"
"1364","546,439,"
